iter	Passed	Remaining
0	0	934
1	1	791
2	2	732
3	2	739
4	3	736
5	4	727
6	5	753
7	6	774
8	7	778
9	7	773
10	8	762
11	9	751
12	9	746
13	10	744
14	11	749
15	12	751
16	12	746
17	13	741
18	14	737
19	14	733
20	15	730
21	16	726
22	16	721
23	17	718
24	18	719
25	19	719
26	20	722
27	20	724
28	21	722
29	22	720
30	22	718
31	23	721
32	24	729
33	25	727
34	26	723
35	26	721
36	27	719
37	28	718
38	29	716
39	29	715
40	30	713
41	31	712
42	31	709
43	32	708
44	33	706
45	33	704
46	34	703
47	35	702
48	36	702
49	36	701
50	37	700
51	38	697
52	38	696
53	39	693
54	40	691
55	41	691
56	41	688
57	42	686
58	43	686
59	43	685
60	44	684
61	45	683
62	45	681
63	46	681
64	47	679
65	47	677
66	48	676
67	49	675
68	50	676
69	50	675
70	51	674
71	52	672
72	52	671
73	53	669
74	54	668
75	54	667
76	55	666
77	56	665
78	56	663
79	57	662
80	58	660
81	58	659
82	59	654
83	59	652
84	60	652
85	61	650
86	61	649
87	62	648
88	63	647
89	63	645
90	65	650
91	65	650
92	66	648
93	67	647
94	67	645
95	68	644
96	69	643
97	69	641
98	70	639
99	70	637
100	71	636
101	72	634
102	72	632
103	73	630
104	73	629
105	74	627
106	75	627
107	75	626
108	76	625
109	77	623
110	77	622
111	78	620
112	78	619
113	79	619
114	80	618
115	80	617
116	81	614
117	81	612
118	82	610
119	83	609
120	83	607
121	84	605
122	84	603
123	85	602
124	85	600
125	86	599
126	86	597
127	87	596
128	88	595
129	88	594
130	89	592
131	89	591
132	90	589
133	90	588
134	91	586
135	92	586
136	92	585
137	93	584
138	94	584
139	95	583
140	95	582
141	95	579
142	96	578
143	97	577
144	97	576
145	98	575
146	98	574
147	99	572
148	100	571
149	100	569
150	101	568
151	101	567
152	102	569
153	103	568
154	104	568
155	104	567
156	105	566
157	106	565
158	106	564
159	107	563
160	107	560
161	108	559
162	108	558
163	109	557
164	110	556
165	110	555
166	111	554
167	111	553
168	112	552
169	112	551
170	113	550
171	114	549
172	114	547
173	115	546
174	115	545
175	116	544
176	116	543
177	117	543
178	118	543
179	119	542
180	119	542
181	120	541
182	120	539
183	121	538
184	122	537
185	122	536
186	123	535
187	123	534
188	124	534
189	125	533
190	125	532
191	126	532
192	126	530
193	127	529
194	128	528
195	128	527
196	129	526
197	129	525
198	130	524
199	130	523
200	131	522
201	132	521
202	132	520
203	133	519
204	133	518
205	134	517
206	134	516
207	135	515
208	136	514
209	136	514
210	137	513
211	137	512
212	138	511
213	139	511
214	140	511
215	140	510
216	141	509
217	141	509
218	142	508
219	143	508
220	143	507
221	144	506
222	145	505
223	145	504
224	146	504
225	146	503
226	147	502
227	148	503
228	149	502
229	149	501
230	150	500
231	151	500
232	151	499
233	152	498
234	152	497
235	153	497
236	154	496
237	155	497
238	155	496
239	156	495
240	157	494
241	157	493
242	158	492
243	158	492
244	159	491
245	159	490
246	160	489
247	161	489
248	162	488
249	162	487
250	163	486
251	163	485
252	164	485
253	164	483
254	165	483
255	165	482
256	166	481
257	168	485
258	169	485
259	170	484
260	170	484
261	171	483
262	172	482
263	172	481
264	173	481
265	174	480
266	174	479
267	175	478
268	175	477
269	176	476
270	176	475
271	177	474
272	177	473
273	178	471
274	178	470
275	179	469
276	179	468
277	180	467
278	180	466
279	181	465
280	181	465
281	182	464
282	182	463
283	183	462
284	184	461
285	184	461
286	185	460
287	185	459
288	186	458
289	186	457
290	187	456
291	188	455
292	188	454
